stone_variant_id,finish_id,finish_variant_id,capability,sources,notes
alpine-white,flamed,,yes,samples|spec,
alpine-white,sawn,,yes,samples|spec,
alpine-white,honed,,yes,samples|spec,
alpine-white,polished,,yes,samples|spec,
alpine-white,bush_hammered,,no,spec,
alpine-white,combed,,no,spec,
alpine-white,rippling,,no,spec,
alpine-white,rock_face,,no,spec,
alpine-white,sparrow_peck,,no,spec,
alpine-white,sandblasted,,no,derived,
angola-black,flamed,,yes,samples|spec,
angola-black,sawn,,yes,samples|spec,
angola-black,honed,,yes,samples|spec,
angola-black,polished,,yes,samples|spec,
angola-black,bush_hammered,,yes,samples|spec,
angola-black,combed,,no,spec,
angola-black,rippling,,no,spec,
angola-black,rock_face,,no,spec,
angola-black,sparrow_peck,,no,spec,
angola-black,sandblasted,,no,derived,
blueocean,flamed,,no,spec,
blueocean,sawn,,yes,samples|spec,
blueocean,honed,,yes,samples|spec,
blueocean,polished,,no,spec,
blueocean,bush_hammered,,yes,samples|spec,
blueocean,combed,,yes,spec,
blueocean,rippling,,yes,samples|spec,
blueocean,rock_face,,yes,samples|spec,
blueocean,sparrow_peck,,no,spec,
blueocean,sandblasted,,no,derived,
blueocean,rippling,fine,yes,samples,
blueocean,rippling,rough,yes,samples,
golden-crust,flamed,,yes,spec,
golden-crust,sawn,,yes,spec,
golden-crust,honed,,yes,spec,
golden-crust,polished,,yes,spec,
golden-crust,bush_hammered,,no,spec,
golden-crust,combed,,no,spec,
golden-crust,rippling,,no,spec,
golden-crust,rock_face,,no,spec,
golden-crust,sparrow_peck,,no,spec,
golden-crust,sandblasted,,no,derived,
golden-crust--light,flamed,,yes,samples|spec,
golden-crust--light,sawn,,yes,samples|spec,
golden-crust--light,honed,,yes,samples|spec,
golden-crust--light,polished,,yes,samples|spec,
golden-crust--light,bush_hammered,,no,spec,
golden-crust--light,combed,,no,spec,
golden-crust--light,rippling,,no,spec,
golden-crust--light,rock_face,,no,spec,
golden-crust--light,sparrow_peck,,no,spec,
golden-crust--light,sandblasted,,no,derived,
golden-crust--dark,flamed,,yes,samples|spec,
golden-crust--dark,sawn,,yes,samples|spec,
golden-crust--dark,honed,,yes,samples|spec,
golden-crust--dark,polished,,yes,samples|spec,
golden-crust--dark,bush_hammered,,no,spec,
golden-crust--dark,combed,,no,spec,
golden-crust--dark,rippling,,no,spec,
golden-crust--dark,rock_face,,no,spec,
golden-crust--dark,sparrow_peck,,no,spec,
golden-crust--dark,sandblasted,,no,derived,
harcourt,flamed,,tbc,spec,
harcourt,sawn,,tbc,spec,
harcourt,honed,,tbc,spec,
harcourt,polished,,tbc,spec,
harcourt,bush_hammered,,tbc,spec,
harcourt,combed,,tbc,spec,
harcourt,rippling,,tbc,spec,
harcourt,rock_face,,tbc,spec,
harcourt,sparrow_peck,,tbc,spec,
harcourt,sandblasted,,tbc,derived,
harcourt--similar,flamed,,yes,samples|spec,
harcourt--similar,sawn,,yes,samples|spec,
harcourt--similar,honed,,yes,samples|spec,
harcourt--similar,polished,,yes,samples|spec,
harcourt--similar,bush_hammered,,tbc,spec,
harcourt--similar,combed,,tbc,spec,
harcourt--similar,rippling,,tbc,spec,
harcourt--similar,rock_face,,tbc,spec,
harcourt--similar,sparrow_peck,,tbc,spec,
harcourt--similar,sandblasted,,tbc,derived,
honey-comb,flamed,,no,spec,
honey-comb,sawn,,yes,samples|spec,
honey-comb,honed,,yes,samples|spec,
honey-comb,polished,,no,spec,
honey-comb,bush_hammered,,no,spec,
honey-comb,combed,,no,spec,
honey-comb,rippling,,no,spec,
honey-comb,rock_face,,no,spec,
honey-comb,sparrow_peck,,no,spec,
honey-comb,sandblasted,,no,derived,
ivory-sand,flamed,,no,spec,
ivory-sand,sawn,,no,spec,
ivory-sand,honed,,yes,samples|spec,
ivory-sand,polished,,no,spec,
ivory-sand,bush_hammered,,yes,samples|spec,
ivory-sand,combed,,no,spec,
ivory-sand,rippling,,no,spec,
ivory-sand,rock_face,,no,spec,
ivory-sand,sparrow_peck,,yes,samples|spec,
ivory-sand,sandblasted,,no,derived,
juparana,flamed,,yes,samples|spec,
juparana,sawn,,yes,samples|spec,
juparana,honed,,yes,samples|spec,
juparana,polished,,yes,samples|spec,
juparana,bush_hammered,,no,spec,
juparana,combed,,no,spec,
juparana,rippling,,no,spec,
juparana,rock_face,,no,spec,
juparana,sparrow_peck,,no,spec,
juparana,sandblasted,,no,derived,
new-grey,flamed,,yes,samples|spec,
new-grey,sawn,,yes,samples|spec,
new-grey,honed,,yes,samples|spec,
new-grey,polished,,yes,samples|spec,
new-grey,bush_hammered,,no,spec,
new-grey,combed,,no,spec,
new-grey,rippling,,no,spec,
new-grey,rock_face,,no,spec,
new-grey,sparrow_peck,,no,spec,
new-grey,sandblasted,,no,derived,
steel-blue,flamed,,no,spec,
steel-blue,sawn,,yes,samples|spec,
steel-blue,honed,,yes,samples|spec,
steel-blue,polished,,no,spec,
steel-blue,bush_hammered,,yes,samples|spec,
steel-blue,combed,,yes,spec,
steel-blue,rock_face,,yes,samples|spec,
steel-blue,sparrow_peck,,no,spec,
steel-blue,sandblasted,,no,derived,
steel-blue,rippling,fine,yes,samples,
steel-blue,rippling,rough,yes,samples,
tan-brown,flamed,,yes,samples|spec,
tan-brown,sawn,,yes,samples|spec,
tan-brown,honed,,yes,samples|spec,
tan-brown,polished,,yes,samples|spec,
tan-brown,bush_hammered,,no,spec,
tan-brown,combed,,no,spec,
tan-brown,rippling,,no,spec,
tan-brown,rock_face,,no,spec,
tan-brown,sparrow_peck,,no,spec,
tan-brown,sandblasted,,no,derived,
tuscany,flamed,,no,spec,
tuscany,sawn,,no,spec,
tuscany,honed,,no,spec,
tuscany,polished,,no,spec,
tuscany,bush_hammered,,no,spec,
tuscany,combed,,no,spec,
tuscany,rippling,,no,spec,
tuscany,rock_face,,no,spec,
tuscany,sparrow_peck,,no,spec,
tuscany,sandblasted,,no,derived,
tuscany--vein-cut,flamed,,no,spec,
tuscany--vein-cut,sawn,,no,spec,
tuscany--vein-cut,honed,,yes,samples|spec,
tuscany--vein-cut,polished,,yes,samples|spec,
tuscany--vein-cut,bush_hammered,,no,spec,
tuscany--vein-cut,combed,,no,spec,
tuscany--vein-cut,rippling,,no,spec,
tuscany--vein-cut,rock_face,,no,spec,
tuscany--vein-cut,sparrow_peck,,no,spec,
tuscany--vein-cut,sandblasted,,yes,samples,
tuscany--cross-cut,flamed,,no,spec,
tuscany--cross-cut,sawn,,no,spec,
tuscany--cross-cut,honed,,yes,samples|spec,
tuscany--cross-cut,polished,,yes,samples|spec,
tuscany--cross-cut,bush_hammered,,no,spec,
tuscany--cross-cut,combed,,no,spec,
tuscany--cross-cut,rippling,,no,spec,
tuscany--cross-cut,rock_face,,no,spec,
tuscany--cross-cut,sparrow_peck,,no,spec,
tuscany--cross-cut,sandblasted,,yes,samples,
zen-grey,flamed,,yes,samples|spec,
zen-grey,sawn,,yes,samples|spec,
zen-grey,honed,,yes,samples|spec,
zen-grey,polished,,yes,samples|spec,
zen-grey,bush_hammered,,no,spec,
zen-grey,combed,,no,spec,
zen-grey,rippling,,no,spec,
zen-grey,rock_face,,no,spec,
zen-grey,sparrow_peck,,no,spec,
zen-grey,sandblasted,,no,derived,
